Player Name,School Name,Position,Height,Year,Games Started,PPG,RebPG,AstPG,+/-,FG%,3FG%,FT%
Will Eames,Green Bay,F,6'7,Senior,5,3.3,3.8,1.1,3,40,32.4,60.7
Jeramiah Israel,Northern Ky.,G,6'3,Freshman,2,3.8,2.1,0.7,-12,42.2,27.5,73.7
Fiston Ipassou,Northern Ky.,G,6'5,Freshman,0,0.6,0.7,0,-27,25,40,60
Quinton Morton-Robertson,Purdue Fort Wayne,G,5'8,Senior,31,13.6,2.7,2.3,163,42.4,40.6,86.1
Sam Vinson,Northern Ky.,G,6'5,Junior,11,12.7,5.2,2.9,4,42.2,26.7,69.8
Imanuel Zorgvol,Youngstown St.,F,7',Sophomore,0,1.8,2.4,0.1,-23,69.6,NA,52.6
Khoi Thurmon,Purdue Fort Wayne,G,6'1,Freshman,0,0.9,0.6,0.1,-14,57.1,NA,0
Michael Bradley,Northern Ky.,G,6',Senior,23,10.3,2.4,4.5,11,42,38,82.3
Brett Thompson,Youngstown St.,G,6'1,Senior,25,13,2.6,4,142,41.6,30.9,79.2
Trey Robinson,Northern Ky.,G,6'6,Senior,31,11.8,7,1.9,25,44.3,24.1,67.2
Marques Warrick,Northern Ky.,G,6'2,Senior,31,19.9,2.4,2.5,28,42.2,29.3,86.1
Gabe Dynes,Youngstown St.,F,7'3,Freshman,4,3.3,3.6,0.3,32,64.2,0,38.1
Daylan Hamilton,IUPUI,G,6'3,Senior,0,1.8,1,0.4,12,25,0,75
Jaylen Bates,Youngstown St.,F,6'7,Senior,0,3.1,2.4,0.2,-22,38.5,53.3,75
Tone Hunter,Oakland,G,5'11,Junior,0,2,1.3,1.6,4,40,25,66.7
Bryce Monroe,IUPUI,G,5'11,Senior,24,11.1,2,2.6,-348,39.6,29.5,78.4
Drey Carter,Wright St.,G,6'8,Freshman,3,3.8,1.6,0.6,-16,53.8,10,69
Logan Woods,Wright St.,G,6'5,Freshman,0,2.3,1.2,0.7,-53,37.7,28.6,76.5
Rich Byhre,Green Bay,F,6'8,Senior,27,5.7,2.8,0.8,-52,41.1,32.5,47.6
Mak Manciel,Detroit Mercy,G,6'3,Junior,21,5.1,1.9,0.9,-221,33.1,28.7,75.9
Kyle LeGreair,Detroit Mercy,G,6'1,Senior,4,1.3,2.2,1.4,-228,35.9,18.2,70.6
Foster Wonders,Green Bay,G,6'5,Sophomore,1,7.9,1.9,0.4,21,39.4,39,83.3
Aundre Polk,Oakland,F,6'9,Junior,0,0.6,0.7,0,3,28.6,NA,100
Alfredo Boglio,Robert Morris,G,6'3,Freshman,1,2.8,0.8,1,-37,33.3,26.3,77.8
Alvaro Folgueiras,Robert Morris,F,6'9,Freshman,6,5.2,4.2,1.3,-50,46.3,30.3,72.2
Bryson Langdon,Youngstown St.,G,5'9,Senior,28,8.4,2,3.4,81,41.1,28.7,72.1
DJ Burns,Youngstown St.,F,6'7,Senior,28,13,11.4,2.4,168,49.2,30.4,85.3
Erik Pratt,Milwaukee,G,6'5,Junior,24,13,3.4,2.4,17,41.4,36,80
Kentrell Pullian,Milwaukee,G,6',Junior,30,10.2,4.4,1.9,27,41.5,28.1,76
Edoardo Del Cadia,Detroit Mercy,F,6'8,Senior,31,9.3,5.7,1.8,-304,53.8,23.8,63.7
Donovann Toatley,Detroit Mercy,G,5'10,Senior,7,9.6,1.6,1.3,-177,34.6,30.7,54.5
